Disease,Predicted_Disease,count
Corneal_Abrasion,Viral_Conjunctivitis,6
Acute_HIV_Syndrome,Infectious_Mononucleosis,5
Scabies,Contact_Dermatitis,5
COPD_Exacerbation,Asthma_Exacerbation,4
COVID_19,Influenza,4
Acute_Bronchitis,COPD_Exacerbation,3
Asthma_Exacerbation,COPD_Exacerbation,3
COPD_Exacerbation,Acute_Bronchitis,3
Food_Poisoning,Constipation,3
Dental_Abscess,Periodontitis,3
Constipation,Lactose_Intolerance,2
Gastritis,Lactose_Intolerance,2
Heat_Exhaustion,Malaria,2
Impetigo,Contact_Dermatitis,2
Constipation,Typhoid_Fever,2
Lactose_Intolerance,Constipation,2
Viral_Gastroenteritis,Diverticulitis,2
Chickenpox,Scabies,2
Infectious_Mononucleosis,Influenza,2
Atopic_Dermatitis,Acne,2
Atrial_Fibrillation,Stable_Angina,2
Typhoid_Fever,Diverticulitis,2
Psoriasis,Atopic_Dermatitis,2
Scabies,Shingles,2
Tinea_Infection,Atopic_Dermatitis,2
Tonsillitis,Streptococcal_Pharyngitis,2
Viral_Gastroenteritis,Food_Poisoning,2
Bacterial_Pneumonia,Pleurisy,1
Asthma_Exacerbation,Acute_Bronchitis,1
Asthma_Exacerbation,Viral_Pneumonia,1
Adrenal_Insufficiency,Vitamin_B12_Deficiency,1
Anaphylaxis,Urticaria,1
Ankylosing_Spondylitis,Polymyalgia_Rheumatica,1
Ankylosing_Spondylitis,Osteoarthritis,1
Adrenal_Insufficiency,Celiac_Disease,1
Acne,Contact_Dermatitis,1
Acne,Periodontitis,1
Acute_Bronchitis,Impetigo,1
Acne,Hand_Foot_Mouth_Disease,1
Bacterial_Pneumonia,Acute_Sinusitis,1
Bacterial_Conjunctivitis,Viral_Conjunctivitis,1
Bacterial_Conjunctivitis,Measles,1
Atopic_Dermatitis,Psoriasis,1
Atopic_Dermatitis,Contact_Dermatitis,1
Common_Cold,Allergic_Rhinitis,1
Contact_Dermatitis,Impetigo,1
Cervical_Cancer,Pelvic_Inflammatory_Disease,1
Cataract,Tension_Headache,1
Carpal_Tunnel_Syndrome,Multiple_Sclerosis,1
Cardiomyopathy,Heart_Failure,1
Constipation,Celiac_Disease,1
Bursitis,Tendinitis,1
Benign_Prostatic_Hyperplasia,Prostatitis,1
Bipolar_Mania,Insomnia_Disorder,1
Fibromyalgia,Generalized_Anxiety_Disorder,1
Fatty_Liver_Disease,Iron_Deficiency_Anemia,1
Diverticulitis,Typhoid_Fever,1
Dengue,Chikungunya,1
Contact_Dermatitis,Scabies,1
Gallstones,Gastritis,1
Food_Poisoning,Otitis_Externa,1
Fibromyalgia,Hypothyroidism,1
Gastritis,Acute_Pancreatitis,1
Gallstones,Testicular_Torsion,1
Glomerulonephritis,Influenza,1
Glomerulonephritis,Bladder_Cancer,1
Heat_Exhaustion,Dementia,1
Heat_Exhaustion,Insomnia_Disorder,1
Food_Poisoning,Cholera,1
Food_Poisoning,Lactose_Intolerance,1
Hypertension,Generalized_Anxiety_Disorder,1
Hypertension,Fatty_Liver_Disease,1
Hyponatremia,Concussion,1
Hypoglycemia,Atrial_Fibrillation,1
Hyponatremia,Epilepsy,1
Impetigo,Scabies,1
Infectious_Mononucleosis,Acute_HIV_Syndrome,1
Chickenpox,Shingles,1
Contact_Dermatitis,Psoriasis,1
Contact_Dermatitis,Measles,1
Corneal_Abrasion,Bacterial_Conjunctivitis,1
COVID_19,Heart_Failure,1
Benign_Prostatic_Hyperplasia,Bladder_Cancer,1
Bacterial_Pneumonia,Typhoid_Fever,1
Benign_Positional_Vertigo,Epididymitis,1
Bacterial_Pneumonia,Viral_Pneumonia,1
Irritable_Bowel_Syndrome,Lactose_Intolerance,1
Irritable_Bowel_Syndrome,Diverticulitis,1
Irritable_Bowel_Syndrome,Colorectal_Cancer,1
Insomnia_Disorder,Somatic_Symptom_Disorder,1
Insomnia_Disorder,Post_Traumatic_Stress_Disorder,1
Influenza,Kala_Azar,1
Influenza,Common_Cold,1
Infective_Endocarditis,Pericarditis,1
Infectious_Mononucleosis,Hypertension,1
Lyme_Disease,Chikungunya,1
Kala_Azar,Nephrotic_Syndrome,1
Ischemic_Stroke,Transient_Ischemic_Attack,1
Lactose_Intolerance,Food_Poisoning,1
Laryngitis,Common_Cold,1
Leptospirosis,Hepatitis_B,1
Kidney_Stone,Pyelonephritis,1
Migraine,Insomnia_Disorder,1
Mumps,Heat_Exhaustion,1
Overactive_Bladder,Benign_Prostatic_Hyperplasia,1
Osteoporosis_Fracture,Tendinitis,1
Pleurisy,Influenza,1
Pleurisy,Laryngitis,1
Polymyalgia_Rheumatica,Rheumatoid_Arthritis,1
Pericarditis,Somatic_Symptom_Disorder,1
Post_Traumatic_Stress_Disorder,Insomnia_Disorder,1
Lyme_Disease,Dengue,1
Major_Depressive_Disorder,Insomnia_Disorder,1
Malaria,Acute_Bronchitis,1
Measles,Acute_Bronchitis,1
Melanoma,Constipation,1
Meniere_Disease,Benign_Prostatic_Hyperplasia,1
Lumbar_Strain,Bursitis,1
Scabies,Acne,1
Rheumatoid_Arthritis,Tendinitis,1
Retinal_Detachment,Cataract,1
RSV_Infection,Influenza,1
RSV_Infection,Common_Cold,1
Prostatitis,Pyelonephritis,1
Post_Traumatic_Stress_Disorder,Schizophrenia,1
Scabies,Chickenpox,1
Sjogren_Syndrome,Somatic_Symptom_Disorder,1
Stable_Angina,Hypotension,1
Supraventricular_Tachycardia,Acute_Myocardial_Infarction,1
Streptococcal_Pharyngitis,Infectious_Mononucleosis,1
Shingles,Acne,1
Shingles,Scabies,1
Sjogren_Syndrome,Fibromyalgia,1
Scabies,Psoriasis,1
Testicular_Torsion,Epididymitis,1
Tension_Headache,Migraine,1
Tension_Headache,Dementia,1
Supraventricular_Tachycardia,Stable_Angina,1
Transient_Ischemic_Attack,Trigeminal_Neuralgia,1
Tinea_Infection,Contact_Dermatitis,1
Tinea_Infection,Scabies,1
Tinea_Infection,Shingles,1
Type_2_Diabetes,Somatic_Symptom_Disorder,1
Type_2_Diabetes,Benign_Prostatic_Hyperplasia,1
Type_1_Diabetes,Type_2_Diabetes,1
Typhoid_Fever,Constipation,1
Viral_Gastroenteritis,Constipation,1
Urticaria,Schizophrenia,1
Viral_Gastroenteritis,Typhoid_Fever,1
