Symptom,Category,Allowed_Values,Generic_Severity_Rubric,Modeling_Note
Fever,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Chills,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Fatigue,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Weakness,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Malaise,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Night_Sweats,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Weight_Loss,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Weight_Gain,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Loss_of_Appetite,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dehydration,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Pallor,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Swollen_Lymph_Nodes,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Body_Ache,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Cold_Sweat,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Exercise_Intolerance,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sleepiness,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Loss_of_Consciousness,General,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Cough,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dry_Cough,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Productive_Cough,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sore_Throat,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Runny_Nose,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Nasal_Congestion,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Sneezing,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Shortness_of_Breath,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Wheezing,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Chest_Tightness,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Chest_Pain,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Pleuritic_Chest_Pain,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Rapid_Breathing,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Coughing_Blood,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Hoarseness,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Loss_of_Smell,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Loss_of_Taste,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Snoring,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Apnea_Episodes,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Blue_Lips,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Stridor,Respiratory,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Nausea,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Vomiting,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Diarrhea,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Bloody_Diarrhea,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Constipation,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Abdominal_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Epigastric_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Right_Upper_Abdominal_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Right_Lower_Abdominal_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Pelvic_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Abdominal_Bloating,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Heartburn,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Acid_Regurgitation,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Difficulty_Swallowing,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Painful_Swallowing,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Indigestion,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Early_Satiety,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Excessive_Gas,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Black_Stool,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Blood_in_Stool,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Jaundice,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Pale_Stool,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dark_Urine,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Rectal_Pain,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Rectal_Itching,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Fecal_Urgency,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Greasy_Stool,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Abdominal_Rigidity,Gastrointestinal,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Headache,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Severe_Headache,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
One_Sided_Headache,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Neck_Stiffness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Dizziness,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
Vertigo,Neurological,0-5,0 absent; 1 very mild; 2 mild; 3 moderate; 4 severe; 5 very severe/critical,Ordinal symptom severity. Clinical meaning varies by symptom; validate before real-world use.
