Disease,Category,Base_Urgency,Age_Min,Age_Max,Sex,Prevalence_Weight,Typical_Duration_Days,Signature_Symptoms,Notes
Acute_Myocardial_Infarction,Cardiovascular,Emergency,25,95,Any,0.45,1-3,"Chest_Pain, Shortness_of_Breath, Cold_Sweat, Nausea, Jaw_Pain",
Aortic_Dissection,Cardiovascular,Emergency,30,95,Any,0.15,1-2,"Chest_Pain, Back_Pain, Fainting, One_Sided_Weakness",
Atrial_Fibrillation,Cardiovascular,Urgent,35,95,Any,0.65,1-180,"Irregular_Heartbeat, Palpitations, Dizziness, Shortness_of_Breath, Fatigue",
Cardiomyopathy,Cardiovascular,Urgent,10,95,Any,0.35,7-365,"Shortness_of_Breath, Fatigue, Leg_Swelling, Palpitations, Fainting",
Deep_Vein_Thrombosis,Cardiovascular,Urgent,18,95,Any,0.55,1-14,"Calf_Pain, Leg_Swelling, Local_Warmth, Red_Skin",
Heart_Failure,Cardiovascular,Urgent,35,95,Any,0.75,7-365,"Shortness_of_Breath, Orthopnea, Paroxysmal_Nocturnal_Dyspnea, Leg_Swelling, Fatigue",
Hypertension,Cardiovascular,Soon,18,95,Any,1.5,30-365,"High_Blood_Pressure_Symptoms, Headache, Blurred_Vision, Nosebleed",
Hypotension,Cardiovascular,Urgent,1,90,Any,0.8,1-30,"Low_Blood_Pressure_Symptoms, Dizziness, Fainting, Weakness, Cold_Sweat",
Infective_Endocarditis,Cardiovascular,Urgent,1,90,Any,0.25,7-90,"Fever, Night_Sweats, Fatigue, Petechiae, Weight_Loss",
Pericarditis,Cardiovascular,Urgent,1,90,Any,0.35,2-30,"Pleuritic_Chest_Pain, Fever, Palpitations, Shortness_of_Breath",
Peripheral_Artery_Disease,Cardiovascular,Soon,40,95,Any,0.55,30-365,"Calf_Pain, Cold_Extremities, Numbness, Non_Healing_Wound",
Sepsis,Cardiovascular,Emergency,1,90,Any,0.35,1-7,"Fever, Rapid_Heartbeat, Rapid_Breathing, Confusion, Low_Blood_Pressure_Symptoms, Reduced_Urine_Output",
Stable_Angina,Cardiovascular,Urgent,35,95,Any,0.7,1-180,"Chest_Pain, Shortness_of_Breath, Exercise_Intolerance",
Supraventricular_Tachycardia,Cardiovascular,Urgent,1,90,Any,0.55,1-10,"Rapid_Heartbeat, Palpitations, Dizziness, Chest_Pain, Shortness_of_Breath",
Acne,Dermatological,Routine,10,50,Any,1.5,30-365,"Rash, Red_Skin, Skin_Pain",
Alopecia_Areata,Dermatological,Routine,1,90,Any,0.55,30-365,"Hair_Loss, Brittle_Nails",
Atopic_Dermatitis,Dermatological,Routine,1,90,Any,1.6,14-365,"Itching, Dry_Skin, Red_Skin, Scaly_Skin",
Cellulitis,Dermatological,Urgent,1,90,Any,0.8,1-21,"Red_Skin, Local_Warmth, Skin_Pain, Fever, Local_Warmth",
Chickenpox,Dermatological,Soon,1,60,Any,0.7,5-21,"Fever, Itching, Blisters, Rash, Fatigue",
Contact_Dermatitis,Dermatological,Routine,1,90,Any,1.0,1-30,"Itching, Red_Skin, Blisters, Dry_Skin",
Impetigo,Dermatological,Soon,1,25,Any,0.65,2-21,"Blisters, Pus_Discharge, Itching, Red_Skin",
Measles,Dermatological,Urgent,0,50,Any,0.4,5-21,"Fever, Rash, Cough, Runny_Nose, Red_Eyes",
Melanoma,Dermatological,Urgent,15,95,Any,0.18,30-365,"Skin_Discoloration, Skin_Discoloration, Skin_Ulcer",
Mumps,Dermatological,Soon,1,60,Any,0.35,5-21,"Facial_Swelling, Fever, Headache, Painful_Swallowing, Testicular_Pain",
Psoriasis,Dermatological,Routine,1,90,Any,1.0,30-365,"Scaly_Skin, Red_Skin, Itching, Joint_Pain",
Rubella,Dermatological,Soon,1,60,Any,0.3,5-21,"Rash, Fever, Swollen_Lymph_Nodes, Joint_Pain, Red_Eyes",
Scabies,Dermatological,Routine,1,90,Any,0.75,7-60,"Itching, Rash, Blisters",
Shingles,Dermatological,Soon,18,95,Any,0.65,2-30,"Skin_Pain, Blisters, Rash, Tingling",
Tinea_Infection,Dermatological,Routine,1,90,Any,1.0,7-90,"Itching, Scaly_Skin, Rash, Hair_Loss",
Urticaria,Dermatological,Soon,1,90,Any,1.1,1-14,"Hives, Itching, Facial_Swelling",
Adrenal_Insufficiency,Endocrine_Metabolic,Urgent,1,90,Any,0.25,14-365,"Fatigue, Weight_Loss, Low_Blood_Pressure_Symptoms, Salt_Craving, Abdominal_Pain",
Cushing_Syndrome,Endocrine_Metabolic,Soon,1,90,Any,0.2,60-365,"Central_Weight_Gain, Bruising, Muscle_Weakness, Mood_Swings, High_Blood_Pressure_Symptoms",
Dehydration,Endocrine_Metabolic,Urgent,1,90,Any,1.2,1-7,"Dry_Mouth, Excessive_Thirst, Dizziness, Reduced_Urine_Output, Weakness",
Diabetic_Ketoacidosis,Endocrine_Metabolic,Emergency,1,90,Any,0.25,1-5,"Excessive_Thirst, Frequent_Urination, Vomiting, Abdominal_Pain, Rapid_Breathing, Confusion",
Gout,Endocrine_Metabolic,Soon,25,95,Any,0.8,1-14,"Joint_Pain, Joint_Swelling, Red_Skin, Local_Warmth",
Hyperkalemia,Endocrine_Metabolic,Emergency,1,90,Any,0.3,1-10,"Muscle_Weakness, Palpitations, Irregular_Heartbeat, Nausea",
Hyperthyroidism,Endocrine_Metabolic,Soon,1,90,Any,0.8,14-365,"Heat_Intolerance, Weight_Loss, Palpitations, Tremor, Excessive_Sweating, Anxiety",
Hypoglycemia,Endocrine_Metabolic,Urgent,1,90,Any,0.9,1-2,"Cold_Sweat, Tremor, Increased_Hunger, Confusion, Dizziness, Palpitations",
Hyponatremia,Endocrine_Metabolic,Emergency,1,90,Any,0.35,1-7,"Nausea, Headache, Confusion, Seizure, Muscle_Cramps",
Hypothyroidism,Endocrine_Metabolic,Routine,1,90,Any,1.1,30-365,"Cold_Intolerance, Weight_Gain, Fatigue, Constipation, Dry_Skin, Puffy_Face",
Iron_Deficiency_Anemia,Endocrine_Metabolic,Routine,1,90,Any,1.6,14-365,"Pallor, Fatigue, Weakness, Shortness_of_Breath, Brittle_Nails",
Leukemia,Endocrine_Metabolic,Urgent,1,90,Any,0.25,14-180,"Fatigue, Pallor, Bruising, Fever, Bone_Pain, Weight_Loss",
Lymphoma,Endocrine_Metabolic,Urgent,1,90,Any,0.25,14-180,"Swollen_Lymph_Nodes, Night_Sweats, Weight_Loss, Fever, Itching",
Type_1_Diabetes,Endocrine_Metabolic,Soon,1,45,Any,0.65,7-180,"Excessive_Thirst, Frequent_Urination, Weight_Loss, Increased_Hunger, Fatigue",
Type_2_Diabetes,Endocrine_Metabolic,Soon,18,95,Any,1.4,30-365,"Excessive_Thirst, Frequent_Urination, Delayed_Wound_Healing, Blurred_Vision, Fatigue",
Vitamin_B12_Deficiency,Endocrine_Metabolic,Routine,1,90,Any,0.75,30-365,"Fatigue, Numbness, Tingling, Memory_Problems, Pallor",
Acute_Angle_Closure_Glaucoma,Eye_ENT_Dental,Emergency,35,100,Any,0.18,1-2,"Eye_Pain, Halo_Around_Lights, Blurred_Vision, Nausea, Headache",
Acute_Otitis_Media,Eye_ENT_Dental,Soon,0,60,Any,1.0,1-14,"Ear_Pain, Fever, Hearing_Loss, Irritability",
Bacterial_Conjunctivitis,Eye_ENT_Dental,Soon,1,90,Any,1.1,1-14,"Red_Eyes, Eye_Discharge, Eye_Pain",
Cataract,Eye_ENT_Dental,Soon,45,100,Any,0.8,90-365,"Blurred_Vision, Halo_Around_Lights, Vision_Loss",
Corneal_Abrasion,Eye_ENT_Dental,Urgent,1,90,Any,0.55,1-10,"Eye_Pain, Red_Eyes, Light_Sensitivity, Watery_Eyes",
Dental_Abscess,Eye_ENT_Dental,Urgent,1,90,Any,0.75,1-21,"Toothache, Gum_Swelling, Facial_Swelling, Fever, Bad_Breath",
Dry_Eye_Syndrome,Eye_ENT_Dental,Routine,1,90,Any,1.2,7-365,"Dry_Eyes, Eye_Pain, Blurred_Vision, Red_Eyes",
Meniere_Disease,Eye_ENT_Dental,Soon,20,80,Any,0.35,1-365,"Vertigo, Hearing_Loss, Ringing_in_Ears, Nausea",
Otitis_Externa,Eye_ENT_Dental,Soon,1,90,Any,0.65,1-14,"Ear_Pain, Ear_Discharge, Itching",
Periodontitis,Eye_ENT_Dental,Soon,1,90,Any,0.8,30-365,"Gum_Swelling, Bad_Breath, Toothache, Gum_Swelling",
Retinal_Detachment,Eye_ENT_Dental,Emergency,25,100,Any,0.18,1-3,"Vision_Loss, Blurred_Vision, Blurred_Vision",
Temporomandibular_Disorder,Eye_ENT_Dental,Routine,1,90,Any,0.75,7-180,"Jaw_Pain, Headache, Ear_Pain, Jaw_Pain",
Viral_Conjunctivitis,Eye_ENT_Dental,Routine,1,90,Any,1.0,1-21,"Red_Eyes, Watery_Eyes, Eye_Pain, Runny_Nose",
Acute_Cholecystitis,Gastrointestinal,Urgent,1,90,Any,0.5,1-10,"Right_Upper_Abdominal_Pain, Fever, Nausea, Vomiting, Jaundice",
Acute_Pancreatitis,Gastrointestinal,Emergency,1,90,Any,0.45,1-14,"Epigastric_Pain, Vomiting, Fever, Abdominal_Bloating, Rapid_Heartbeat",
Appendicitis,Gastrointestinal,Emergency,1,90,Any,0.8,1-4,"Right_Lower_Abdominal_Pain, Nausea, Vomiting, Fever, Abdominal_Rigidity",
Celiac_Disease,Gastrointestinal,Routine,1,90,Any,0.7,30-365,"Diarrhea, Greasy_Stool, Abdominal_Bloating, Weight_Loss, Fatigue",
Cholera,Gastrointestinal,Emergency,1,90,Any,0.35,1-7,"Diarrhea, Vomiting, Dehydration, Muscle_Cramps, Low_Blood_Pressure_Symptoms",
Cirrhosis,Gastrointestinal,Urgent,25,95,Any,0.4,30-365,"Jaundice, Abdominal_Bloating, Leg_Swelling, Bruising, Weight_Loss, Confusion",
Colorectal_Cancer,Gastrointestinal,Urgent,35,95,Any,0.35,30-365,"Blood_in_Stool, Weight_Loss, Constipation, Fatigue, Abdominal_Pain",
Constipation,Gastrointestinal,Routine,1,90,Any,2.0,2-30,"Constipation, Abdominal_Bloating, Abdominal_Pain, Loss_of_Appetite",
Crohn_Disease,Gastrointestinal,Soon,1,90,Any,0.55,30-365,"Diarrhea, Abdominal_Pain, Weight_Loss, Fatigue, Mouth_Ulcers, Blood_in_Stool",
Diverticulitis,Gastrointestinal,Urgent,35,95,Any,0.65,2-14,"Abdominal_Pain, Fever, Constipation, Nausea",
Fatty_Liver_Disease,Gastrointestinal,Routine,18,90,Any,0.9,60-365,"Fatigue, Right_Upper_Abdominal_Pain, Weight_Gain",
Food_Poisoning,Gastrointestinal,Soon,1,90,Any,2.2,1-7,"Nausea, Vomiting, Diarrhea, Abdominal_Pain, Body_Ache",
GERD,Gastrointestinal,Routine,1,90,Any,2.2,7-180,"Heartburn, Acid_Regurgitation, Chest_Pain, Difficulty_Swallowing, Dry_Cough",
Gallstones,Gastrointestinal,Soon,1,90,Any,1.0,1-30,"Right_Upper_Abdominal_Pain, Nausea, Vomiting, Indigestion",
Gastritis,Gastrointestinal,Soon,1,90,Any,1.7,1-30,"Epigastric_Pain, Nausea, Indigestion, Abdominal_Bloating",
Hemorrhoids,Gastrointestinal,Routine,1,90,Any,1.2,3-60,"Blood_in_Stool, Rectal_Pain, Rectal_Itching, Constipation",
Hepatitis_A,Gastrointestinal,Urgent,1,90,Any,0.5,7-60,"Jaundice, Dark_Urine, Pale_Stool, Fatigue, Nausea, Right_Upper_Abdominal_Pain",
Hepatitis_B,Gastrointestinal,Urgent,1,90,Any,0.45,14-180,"Jaundice, Dark_Urine, Fatigue, Joint_Pain, Right_Upper_Abdominal_Pain",
Irritable_Bowel_Syndrome,Gastrointestinal,Routine,1,90,Any,1.8,30-365,"Abdominal_Pain, Abdominal_Bloating, Constipation, Diarrhea, Excessive_Gas",
Lactose_Intolerance,Gastrointestinal,Routine,1,90,Any,1.6,1-30,"Abdominal_Bloating, Diarrhea, Excessive_Gas, Abdominal_Pain, Nausea",
Peptic_Ulcer_Disease,Gastrointestinal,Soon,1,90,Any,1.0,7-120,"Epigastric_Pain, Black_Stool, Nausea, Early_Satiety",
Typhoid_Fever,Gastrointestinal,Urgent,1,90,Any,0.65,5-35,"Fever, Headache, Abdominal_Pain, Loss_of_Appetite, Constipation, Diarrhea",
Ulcerative_Colitis,Gastrointestinal,Urgent,1,90,Any,0.5,14-365,"Bloody_Diarrhea, Fecal_Urgency, Abdominal_Pain, Weight_Loss, Fatigue",
Viral_Gastroenteritis,Gastrointestinal,Soon,1,90,Any,2.0,1-10,"Vomiting, Diarrhea, Abdominal_Pain, Fever, Dehydration",
Bipolar_Mania,Mental_Behavioral,Urgent,1,90,Any,0.4,4-90,"Mood_Swings, Racing_Thoughts, Insomnia, Irritability, Mood_Swings",
Generalized_Anxiety_Disorder,Mental_Behavioral,Routine,1,90,Any,1.2,30-365,"Anxiety, Restlessness, Insomnia, Difficulty_Concentrating, Muscle_Pain",
Insomnia_Disorder,Mental_Behavioral,Routine,1,90,Any,1.4,14-365,"Insomnia, Fatigue, Irritability, Difficulty_Concentrating",
